City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
30,Saint-Pierre,RE,2021-01-28 04:27:16,-21.3393,55.4781,84.2,54,0,4.61
31,Coquimbo,CL,2021-01-28 04:27:11,-29.9533,-71.3436,59.0,88,0,3.44
32,Thompson,CA,2021-01-28 04:27:16,55.7435,-97.8558,-27.4,75,1,2.48
33,Rybachiy,RU,2021-01-28 04:27:16,48.7073,44.7449,28.4,86,90,13.42
34,Necochea,AR,2021-01-28 04:27:16,-38.5473,-58.7368,62.01,70,76,0.98
35,Nieuw Amsterdam,SR,2021-01-28 04:27:17,5.8833,-55.0833,75.99,89,94,1.99
36,Xai-Xai,MZ,2021-01-28 04:27:17,-25.0519,33.6442,75.76,87,63,6.33
37,Saldanha,ZA,2021-01-28 04:27:17,-33.0117,17.9442,55.4,82,0,5.75
38,Atar,MR,2021-01-28 04:27:17,20.5169,-13.0499,65.57,25,0,9.69
39,Nyazepetrovsk,RU,2021-01-28 04:27:17,56.0531,59.6028,23.97,94,100,8.25
40,Changji,CN,2021-01-28 04:27:17,44.0167,87.3167,5.0,85,1,2.24
41,East London,ZA,2021-01-28 04:27:18,-33.0153,27.9116,62.6,100,75,6.91
42,Gulbene,LV,2021-01-28 04:27:18,57.1777,26.7529,28.36,98,100,5.66
43,Punta Arenas,CL,2021-01-28 04:27:18,-53.15,-70.9167,42.8,81,90,16.11
44,Abu Samrah,SY,2021-01-28 04:27:18,35.3029,37.1841,49.57,82,99,13.47
45,Kiruna,SE,2021-01-28 04:27:18,67.8557,20.2251,14.0,92,90,6.91
46,Alta Floresta,BR,2021-01-28 04:27:18,-9.8756,-56.0861,70.07,94,90,2.19
47,Darnah,LY,2021-01-28 04:27:19,32.767,22.6367,52.23,65,76,15.23
48,Carmarthen,GB,2021-01-28 04:27:19,51.8555,-4.3054,48.2,100,90,17.27
49,Carnarvon,AU,2021-01-28 04:27:19,-24.8667,113.6333,82.4,57,0,20.71
50,Bredasdorp,ZA,2021-01-28 04:27:19,-34.5322,20.0403,46.4,87,3,1.14
51,Progreso,MX,2021-01-28 04:27:19,21.2833,-89.6667,79.0,78,40,11.81
52,Saint-Philippe,RE,2021-01-28 04:27:20,-21.3585,55.7679,84.2,54,0,4.61
53,Kavaratti,IN,2021-01-28 04:27:20,10.5669,72.642,80.53,70,74,14.09
54,Madaoua,NE,2021-01-28 04:27:20,14.073,5.96,65.05,20,25,13.29
55,Rawson,AR,2021-01-28 04:25:27,-43.3002,-65.1023,62.55,52,41,12.64
56,Faya,SA,2021-01-28 04:22:53,18.3851,42.4509,57.2,47,0,4.61
57,Meulaboh,ID,2021-01-28 04:27:20,4.1363,96.1285,85.51,60,93,0.34
58,Nacala,MZ,2021-01-28 04:27:20,-14.5428,40.6728,77.45,88,78,4.92
59,Guantanamo,CU,2021-01-28 04:27:21,20.1444,-75.2092,73.4,94,20,5.75
60,Jiblah,YE,2021-01-28 04:27:21,13.9216,44.1467,53.6,41,0,6.13
61,Marawi,PH,2021-01-28 04:27:21,7.9986,124.2928,81.0,74,58,4.0
62,Udala,ES,2021-01-28 04:27:21,43.0778,-2.5125,51.01,98,71,3.0
