City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Severo-Kurilsk,RU,50.6789,156.125,266.05,93,95,14.95,light snow
113,Turukhansk,RU,65.8167,87.9833,249.12,88,100,3.34,overcast clouds
114,Manzhouli,CN,49.6,117.4333,241.71,81,81,3.57,broken clouds
115,Hithadhoo,MV,-0.6,73.0833,301.56,73,26,3.6,scattered clouds
116,Jizan,SA,17.3333,42.6667,299.15,83,0,3.09,clear sky
117,Luanda,AO,-8.8368,13.2343,302.15,70,75,5.66,broken clouds
118,Tuy Hoa,VN,13.0833,109.3,293.45,87,27,2.9,scattered clouds
119,Bonavista,CA,48.6499,-53.1147,272.04,86,100,2.06,overcast clouds
120,Ribeira Grande,PT,38.5167,-28.7,290.15,77,40,10.29,scattered clouds
121,Krasnoarmeysk,RU,51.0239,45.6969,271.48,97,100,1.79,light rain
122,Cidreira,BR,-30.1811,-50.2056,300.69,73,1,2.34,clear sky
123,Cape Town,ZA,-33.9258,18.4232,297.15,43,0,8.23,clear sky
124,Kango,GA,0.1943,10.0951,301.26,77,68,1.33,light rain
125,Bathsheba,BB,13.2167,-59.5167,303.15,51,40,10.8,scattered clouds
126,Codrington,AU,-38.2667,141.9667,286.26,85,26,5.02,scattered clouds
127,Pacific Grove,US,36.6177,-121.9166,284.82,87,75,2.06,broken clouds
128,Muros,ES,42.7762,-9.0603,287.59,94,100,5.81,overcast clouds
129,Rio Grande,BR,-32.035,-52.0986,301.48,83,40,6.17,scattered clouds
130,Havelock,US,34.8791,-76.9013,277.59,100,90,7.72,overcast clouds
131,Tsiroanomandidy,MG,-18.7667,46.0333,296.89,81,35,1.43,light rain
132,Isangel,VU,-19.55,169.2667,299.12,82,95,6.53,overcast clouds
133,Ketchikan,US,55.3422,-131.6461,275.15,93,90,1.54,overcast clouds
134,Saint-Philippe,RE,-21.3585,55.7679,301.15,69,0,4.12,light rain
135,Manaure,CO,11.7751,-72.4445,303.13,55,46,10.26,scattered clouds
136,Avarua,CK,-21.2078,-159.775,296.15,100,82,0.51,broken clouds
137,Valleyview,CA,55.0667,-117.2859,259.15,85,63,2.06,broken clouds
138,Mendi,PG,-6.1761,143.6513,286.76,100,100,0.55,overcast clouds
139,San Jose,US,37.3394,-121.895,286.15,66,75,4.12,broken clouds
140,Saint George,US,37.1041,-113.5841,282.04,57,1,1.54,clear sky
141,Cururupu,BR,-1.8283,-44.8683,300.41,84,55,2.95,broken clouds
142,Kapaa,US,22.0752,-159.319,295.15,83,75,4.63,light rain
143,Barrow,US,71.2906,-156.7887,244.15,76,1,5.66,haze
144,Castelo Do Piaui,BR,-5.3222,-41.5525,304.22,54,100,1.88,overcast clouds
145,Dikson,RU,73.5069,80.5464,241.94,83,51,4.98,broken clouds
146,Dasoguz,TM,41.8363,59.9666,276.15,60,56,3.09,broken clouds
147,Wanning,CN,18.8003,110.3967,292.97,90,25,1.84,scattered clouds
148,Viedma,AR,-40.8135,-62.9967,300.93,42,100,1.95,overcast clouds
149,Boden,SE,65.8252,21.6886,259.15,92,40,1.54,scattered clouds
150,Kenora,CA,49.8167,-94.4337,265.15,86,90,1.54,overcast clouds
151,Kudat,MY,6.8837,116.8477,300.15,83,20,2.06,few clouds
152,Rio Gallegos,AR,-51.6226,-69.2181,292.15,39,75,11.32,broken clouds
153,Ambulu,ID,-8.345,113.6058,297.92,86,53,1.27,light rain
154,Lorengau,PG,-2.0226,147.2712,298.91,77,100,4.85,overcast clouds
155,Ilhabela,BR,-23.7781,-45.3581,302.08,64,74,1.06,broken clouds
156,Chokurdakh,RU,70.6333,147.9167,250.27,89,100,6.52,overcast clouds
157,Yeppoon,AU,-23.1333,150.7333,296.15,73,75,2.06,broken clouds
158,Korem,ET,12.5058,39.5228,285.26,40,0,2.58,clear sky
159,Solnechnyy,RU,50.7214,136.6319,246.61,82,100,0.98,overcast clouds
160,Esperance,AU,-33.8667,121.9,288.15,82,0,4.12,clear sky
161,Ishigaki,JP,24.3448,124.1572,294.43,63,83,1.5,broken clouds
162,Khatanga,RU,71.9667,102.5,238.38,83,0,4.32,clear sky
163,Dillon,US,34.4166,-79.3712,280.93,93,90,3.09,overcast clouds
164,Sorong,ID,-0.8833,131.25,300.36,77,100,2.63,overcast clouds
165,Bethel,US,41.3712,-73.414,270.15,80,90,7.72,snow
166,Lapi,PH,17.716,121.8978,291.9,80,26,1.06,scattered clouds
167,Tasiilaq,GL,65.6145,-37.6368,264.15,73,75,1.03,broken clouds
168,Khasan,RU,42.4308,130.6434,258.63,86,0,12.01,clear sky
169,Dayong,CN,25.0209,118.2898,288.15,88,22,1.0,mist
170,Yanam,IN,16.7333,82.2167,298.15,83,40,2.57,mist
171,Kralendijk,BQ,12.15,-68.2667,302.15,70,20,9.77,few clouds
172,Padang,ID,-0.9492,100.3543,297.15,94,40,1.03,light rain
173,Jalu,LY,29.0331,21.5482,290.92,59,65,4.74,broken clouds
174,Necochea,AR,-38.5473,-58.7368,294.82,64,100,6.09,overcast clouds
175,Ambon,ID,-3.6954,128.1814,299.15,78,40,3.6,moderate rain
176,Jumla,NP,29.2747,82.1838,274.64,66,0,1.55,clear sky
177,Atchison,US,39.563,-95.1216,272.04,89,29,3.58,scattered clouds
178,Port Blair,IN,11.6667,92.75,299.3,77,0,5.54,clear sky
179,Bengkulu,ID,-3.8004,102.2655,298.02,87,100,1.96,moderate rain
180,Caucaia,BR,-3.7361,-38.6531,303.15,66,75,9.26,broken clouds
181,Nailsea,GB,51.4324,-2.7585,277.59,93,90,2.57,mist
182,Mount Gambier,AU,-37.8333,140.7667,286.15,88,90,5.14,overcast clouds
183,Qui Nhon,VN,13.7667,109.2333,293.7,86,4,4.12,clear sky
184,Provideniya,RU,64.3833,-173.3,260.2,93,100,12.88,snow
185,Hun,LY,29.1268,15.9477,290.18,35,40,3.18,scattered clouds
186,Fortuna,US,40.5982,-124.1573,284.82,66,75,7.72,moderate rain
187,Aykhal,RU,66.0,111.5,232.06,78,100,4.42,overcast clouds
188,Arcachon,FR,44.5875,-1.0519,285.15,100,90,1.54,mist
189,Huarmey,PE,-10.0681,-78.1522,297.38,65,44,4.63,scattered clouds
190,Touros,BR,-5.1989,-35.4608,303.15,54,40,9.77,scattered clouds
191,Tomatlan,MX,19.9333,-105.25,303.72,44,33,1.86,scattered clouds
192,Swan River,CA,52.1058,-101.2676,264.15,79,16,1.03,few clouds
193,Krasnyy Chikoy,RU,50.3643,108.7512,242.61,81,3,1.35,clear sky
194,Sitka,US,57.0531,-135.33,275.15,64,75,3.6,broken clouds
195,Lebu,CL,-37.6167,-73.65,290.25,73,57,6.87,broken clouds
196,Majene,ID,-3.5403,118.9707,299.67,74,100,2.57,overcast clouds
197,Semey,KZ,50.4111,80.2275,263.09,90,29,1.82,scattered clouds
198,Lagoa,PT,39.05,-27.9833,288.7,79,73,12.98,broken clouds
199,Ginda,IN,30.6945,78.4932,279.82,48,0,2.73,clear sky
200,Kavaratti,IN,10.5669,72.642,300.96,69,56,1.66,broken clouds
201,Aripuana,BR,-9.1667,-60.6333,301.85,72,99,1.57,overcast clouds
202,Port Elizabeth,ZA,-33.918,25.5701,292.15,55,40,3.6,scattered clouds
203,Anzio,IT,41.4853,12.6179,284.82,95,99,2.24,light rain
204,Itaituba,BR,-4.2761,-55.9836,305.15,70,40,3.6,scattered clouds
205,Acari,PE,-15.4311,-74.6158,301.78,40,26,5.46,scattered clouds
206,Shubarshi,KZ,48.5872,57.1869,269.71,98,99,0.7,overcast clouds
207,Lake Park,US,26.8003,-80.0664,295.37,60,40,8.75,scattered clouds
208,Severnyy,RU,50.677,36.5532,272.15,100,90,4.0,moderate rain
209,Paamiut,GL,61.994,-49.6678,266.21,92,31,6.38,scattered clouds
210,Mandalgovi,MN,45.7625,106.2708,252.91,82,0,4.88,clear sky
211,Beringovskiy,RU,63.05,179.3167,267.45,97,100,15.02,snow
212,Nanortalik,GL,60.1432,-45.2371,272.18,92,46,0.87,scattered clouds
213,Durango,MX,24.8333,-104.8333,286.62,38,2,2.21,clear sky
214,Beruwala,LK,6.4788,79.9828,297.67,88,18,2.34,few clouds
215,Peniche,PT,39.3558,-9.3811,288.71,82,100,3.58,overcast clouds
216,Labuhan,ID,-6.8844,112.2051,299.18,84,100,4.65,light rain
217,Kerrville,US,30.0474,-99.1403,287.59,40,52,4.66,broken clouds
218,Quatre Cocos,MU,-20.2078,57.7625,300.93,89,75,3.6,light rain
219,Murray Bridge,AU,-35.1167,139.2667,287.04,92,0,3.99,clear sky
220,Marienburg,PL,54.0359,19.0266,269.82,100,100,3.07,overcast clouds
221,Tynda,RU,55.1667,124.7167,237.05,77,100,2.41,overcast clouds
222,Guerrero Negro,MX,27.9769,-114.0611,292.78,38,96,3.71,overcast clouds
223,La Ronge,CA,55.1001,-105.2842,263.15,92,84,4.12,broken clouds
224,Poum,NC,-20.2333,164.0167,298.73,77,100,7.88,overcast clouds
225,Urumqi,CN,43.801,87.6005,262.15,79,74,3.0,mist
226,Beira,MZ,-19.8436,34.8389,303.15,84,20,5.66,few clouds
227,Takoradi,GH,4.8845,-1.7554,301.28,77,85,4.54,light rain
228,Herat,AF,34.5,62.0,278.15,45,0,1.03,clear sky
229,Shambu,ET,9.5667,37.1,288.83,32,50,0.81,scattered clouds
230,Bambous Virieux,MU,-20.3428,57.7575,300.93,89,75,3.6,light rain
231,Siderno,IT,38.2779,16.302,286.15,76,75,3.09,broken clouds
232,Westport,US,41.1415,-73.3579,270.93,93,90,10.29,heavy snow
233,Taichung,TW,24.1469,120.6839,289.82,76,20,2.57,few clouds
234,Batemans Bay,AU,-35.7167,150.1833,288.71,96,100,5.16,light rain
235,Empalme,MX,27.9667,-110.8167,296.48,52,75,2.85,broken clouds
236,Buala,SB,-8.145,159.5921,300.43,78,100,6.2,light rain
237,Illela,NG,13.7292,5.2975,302.77,13,0,1.5,clear sky
238,Neman,RU,55.0311,22.0264,267.29,97,85,2.24,overcast clouds
239,Dolores,AR,-36.3132,-57.6792,294.68,71,99,7.59,light rain
240,Ojinaga,MX,29.5667,-104.4167,288.15,29,1,3.09,clear sky
241,Basmat,IN,19.3167,77.1667,293.67,25,0,4.34,clear sky
242,East London,ZA,-33.0153,27.9116,292.15,68,20,2.06,few clouds
243,Norman Wells,CA,65.282,-126.8329,245.15,69,90,4.12,light snow
244,Axim,GH,4.8699,-2.2405,301.27,74,85,3.74,overcast clouds
245,Egvekinot,RU,66.3167,-179.1667,253.32,94,100,8.59,snow
246,Clyde River,CA,70.4692,-68.5914,248.15,77,75,9.26,broken clouds
247,Ponta Delgada,PT,37.7333,-25.6667,290.93,88,75,7.2,broken clouds
248,Fairbanks,US,64.8378,-147.7164,245.15,75,1,2.02,clear sky
249,Darovskoy,RU,58.77,47.9564,266.99,96,100,5.15,snow
250,Nenjiang,CN,49.1833,125.2167,240.88,79,36,1.95,scattered clouds
251,Leningradskiy,RU,69.3833,178.4167,252.1,87,100,11.53,overcast clouds
252,Gamba,GA,-2.65,10.0,300.6,77,34,3.23,scattered clouds
253,Muyezerskiy,RU,63.9333,31.65,261.08,96,100,0.73,overcast clouds
254,Nioki,CD,-2.7167,17.6833,300.6,67,30,0.31,scattered clouds
255,Orissaare,EE,58.5592,23.0826,274.26,70,42,3.58,scattered clouds
256,Orbetello,IT,42.4408,11.2196,283.15,93,90,1.54,fog
257,Kalianget,ID,-7.05,113.9333,299.42,85,96,6.77,overcast clouds
258,Shahrud,IR,36.4182,54.9763,278.62,62,0,0.42,clear sky
259,Prince Rupert,CA,54.3161,-130.3201,277.15,93,90,2.57,overcast clouds
260,Ponyri,RU,52.3186,36.3039,270.15,93,90,5.0,snow
261,Bintulu,MY,3.1667,113.0333,297.15,94,40,1.03,light rain
262,Inuvik,CA,68.3499,-133.7218,246.15,76,100,3.09,overcast clouds
263,Miraflores,MX,19.2167,-98.8083,289.15,58,90,4.12,overcast clouds
264,Malanje,AO,-9.5402,16.341,294.76,86,83,2.03,broken clouds
265,Manokwari,ID,-0.8667,134.0833,298.02,84,100,2.16,light rain
266,Port Hardy,CA,50.6996,-127.4199,279.15,100,75,3.14,broken clouds
267,Kotka,FI,60.4664,26.9458,264.82,92,31,1.54,light snow
268,Caravelas,BR,-17.7125,-39.2481,302.99,54,91,4.37,overcast clouds
269,Guadalupe Y Calvo,MX,26.1,-106.9667,290.7,33,62,1.15,broken clouds
270,Stony Plain,CA,53.5334,-114.0021,260.37,78,1,2.06,mist
